               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025207,            0.012364,          0.00057859,             0.69876,             0.72603,             0.74225,             0.39915,            0.033282,            0.014992,           0.0049913,            0.070625,           0.0032639,           0.0032639
                   1,            0.025644,            0.012317,          0.00044757,             0.75072,              0.6777,             0.72467,             0.38085,            0.033569,            0.015425,            0.004489,            0.040612,           0.0065842,           0.0065842
                   2,            0.027547,            0.012492,          0.00067114,             0.65594,              0.5222,             0.57414,             0.26554,            0.040155,            0.018071,            0.006828,            0.010586,           0.0098912,           0.0098912
                   3,            0.029676,            0.013479,           0.0011542,             0.64204,             0.65681,             0.64851,             0.31336,            0.040319,            0.015874,           0.0060096,           0.0099406,           0.0099406,           0.0099406
                   4,            0.031779,            0.013984,          0.00087874,             0.66185,             0.60929,             0.65715,             0.34553,            0.035384,            0.015813,           0.0047494,           0.0099406,           0.0099406,           0.0099406
                   5,            0.032065,            0.014064,          0.00084814,             0.62001,              0.6687,             0.64625,             0.32711,            0.036401,            0.015249,           0.0052694,           0.0099208,           0.0099208,           0.0099208
                   6,            0.031994,            0.014105,           0.0010724,             0.64757,             0.60936,             0.63476,             0.33534,            0.035515,            0.015473,           0.0045623,            0.009901,            0.009901,            0.009901
                   7,            0.031432,            0.014276,          0.00096863,             0.66123,             0.69902,             0.73054,             0.38768,            0.032248,            0.014817,           0.0036641,           0.0098812,           0.0098812,           0.0098812
                   8,            0.031651,            0.013983,          0.00080498,              0.4309,             0.46212,             0.44578,             0.20264,            0.051852,            0.017694,           0.0086601,           0.0098614,           0.0098614,           0.0098614
                   9,            0.030842,            0.013793,          0.00072724,             0.55504,             0.51524,             0.52424,             0.23758,             0.04588,            0.016712,           0.0067717,           0.0098416,           0.0098416,           0.0098416
                  10,            0.032122,            0.014237,           0.0011036,             0.65973,             0.65828,             0.67796,             0.34781,            0.036969,            0.016198,           0.0061596,           0.0098218,           0.0098218,           0.0098218
                  11,             0.03207,            0.014432,           0.0010946,               0.556,             0.30185,             0.33913,             0.16227,            0.049211,            0.022307,            0.018637,            0.009802,            0.009802,            0.009802
                  12,            0.031453,            0.014415,           0.0011454,             0.63939,              0.6832,             0.70395,             0.34836,            0.034145,            0.015093,           0.0035096,           0.0097822,           0.0097822,           0.0097822
                  13,            0.031086,            0.014015,           0.0010905,             0.61964,             0.62974,             0.64993,              0.3228,            0.038603,            0.015818,           0.0055661,           0.0097624,           0.0097624,           0.0097624
                  14,            0.030839,            0.013929,          0.00071189,             0.66193,             0.67846,             0.70852,             0.36256,            0.034706,            0.015386,           0.0038029,           0.0097426,           0.0097426,           0.0097426
                  15,            0.030345,             0.01379,          0.00058061,             0.63671,             0.69228,             0.70508,             0.36994,            0.033557,            0.015033,             0.00423,           0.0097228,           0.0097228,           0.0097228
                  16,            0.030328,            0.013793,          0.00068274,             0.51505,             0.47705,             0.48983,             0.22572,            0.046704,            0.018781,            0.011014,            0.009703,            0.009703,            0.009703
                  17,            0.030603,            0.013655,          0.00064001,             0.71398,               0.693,             0.75301,             0.38698,            0.035598,            0.014514,           0.0030294,           0.0096832,           0.0096832,           0.0096832
                  18,            0.030939,            0.013557,          0.00075525,             0.68867,             0.66312,              0.7044,             0.35937,            0.035101,            0.014947,           0.0026635,           0.0096634,           0.0096634,           0.0096634
                  19,            0.031755,            0.013823,           0.0010873,             0.48707,             0.48241,              0.4628,             0.21592,            0.048291,            0.019412,           0.0087158,           0.0096436,           0.0096436,           0.0096436
                  20,            0.030135,            0.013962,           0.0008205,             0.74314,             0.63675,             0.70728,             0.36568,            0.036999,            0.015364,           0.0087427,           0.0096238,           0.0096238,           0.0096238
                  21,            0.032112,            0.013738,           0.0009084,             0.71936,             0.71861,             0.75672,             0.41736,            0.032007,            0.014095,           0.0037398,            0.009604,            0.009604,            0.009604
                  22,            0.030835,            0.013839,          0.00092411,             0.74739,             0.68676,             0.74164,             0.39791,             0.03241,            0.015002,            0.005296,           0.0095842,           0.0095842,           0.0095842
                  23,            0.030432,            0.013534,            0.000732,              0.7364,             0.71797,             0.75619,             0.39092,            0.033368,            0.014186,           0.0060269,           0.0095644,           0.0095644,           0.0095644
                  24,            0.029447,            0.013831,          0.00072444,              0.6888,             0.71086,             0.72425,              0.3723,            0.035284,            0.015299,           0.0052222,           0.0095446,           0.0095446,           0.0095446
                  25,            0.030085,            0.013612,          0.00093359,             0.62173,             0.69874,             0.69551,             0.36533,            0.032812,            0.015063,           0.0041927,           0.0095248,           0.0095248,           0.0095248
                  26,            0.030863,            0.013684,          0.00084176,             0.64077,             0.71645,             0.73671,             0.39256,            0.032145,            0.014457,           0.0039422,            0.009505,            0.009505,            0.009505
                  27,            0.030223,            0.013638,          0.00075656,             0.67311,             0.61748,               0.663,             0.34172,            0.037496,            0.016374,            0.010152,           0.0094852,           0.0094852,           0.0094852
                  28,            0.030648,             0.01379,          0.00073887,             0.62846,              0.2359,             0.24574,             0.10302,            0.064461,            0.020755,            0.019669,           0.0094654,           0.0094654,           0.0094654
                  29,            0.030219,            0.013755,          0.00077209,             0.69718,             0.70497,             0.76696,             0.39103,             0.03381,            0.015311,           0.0053404,           0.0094456,           0.0094456,           0.0094456
                  30,            0.030378,            0.013581,          0.00060803,             0.69492,             0.74806,              0.7565,             0.39593,            0.036586,            0.014597,           0.0046724,           0.0094258,           0.0094258,           0.0094258
                  31,            0.030619,            0.013665,           0.0010735,             0.66418,             0.55714,             0.59522,             0.30282,            0.040797,            0.016922,            0.008412,            0.009406,            0.009406,            0.009406
                  32,            0.029355,            0.013498,           0.0021007,             0.61191,             0.65758,              0.6628,             0.34523,            0.035818,            0.016099,           0.0050491,           0.0093862,           0.0093862,           0.0093862
                  33,            0.030316,            0.013517,           0.0015886,             0.76003,             0.67228,             0.76759,             0.40463,            0.032547,            0.013918,           0.0063849,           0.0093664,           0.0093664,           0.0093664
                  34,            0.029692,            0.013246,           0.0007503,             0.71015,             0.70213,              0.7495,             0.39651,            0.032057,            0.014406,           0.0058617,           0.0093466,           0.0093466,           0.0093466
                  35,            0.031051,            0.013506,          0.00082496,             0.59165,             0.51145,             0.54007,             0.25075,            0.045588,            0.017194,           0.0067587,           0.0093268,           0.0093268,           0.0093268
                  36,            0.030099,            0.013441,          0.00089455,             0.69936,             0.72525,             0.74525,              0.3996,            0.033058,            0.014787,           0.0047446,            0.009307,            0.009307,            0.009307
                  37,            0.030013,            0.013339,          0.00073654,             0.69866,             0.68865,             0.71668,             0.37166,            0.036007,            0.015596,           0.0050288,           0.0092872,           0.0092872,           0.0092872
